sample_id,DACH1_expr,burden_index,CADM1_meth,ESR1_meth,SLIT2_meth,EDNRB_meth
TCGA-VS-A94X-01,2.6281,0.19340000000000002,0.1183,0.5305,0.1617,0.6086
TCGA-VS-A94Y-01,4.7031,0.4966,0.5802,0.8946,0.6902,0.6166
TCGA-VS-A94Z-01,31.171,0.3194714285714286,0.3817,0.6233,0.6115,0.4506
TCGA-VS-A950-01,5.9561,0.3901428571428572,0.4784,0.92,0.6828,0.6537
TCGA-VS-A953-01,10.2328,0.40722857142857144,0.7708,0.9415,0.9022,0.8994
TCGA-VS-A954-01,4.1076,0.3007857142857143,0.5818,0.8357,0.7931,0.7851
TCGA-VS-A957-01,415.814,0.1765142857142857,0.8706,0.8935,0.2495,0.8913
TCGA-VS-A958-01,7.1942,0.21244285714285713,0.2815,0.6208,0.5004,0.4871
TCGA-VS-A959-01,35.8491,0.2731,0.0988,0.8563,0.1534,0.461
TCGA-VS-A9U5-01,16.1194,0.3932857142857143,0.5856,0.8829,0.5691,0.5689
TCGA-VS-A9U6-01,17.9147,0.2271857142857143,0.5217,0.8943,0.0848,0.6069
TCGA-VS-A9U7-01,36.2529,0.22642857142857142,0.6998,0.8731,0.813,0.8723
TCGA-VS-A9UB-01,6.6951,0.33127142857142855,0.0828,0.8471,0.1299,0.5178
TCGA-VS-A9UC-01,19.368,0.38855714285714277,0.6707,0.6886,0.7265,0.7657
TCGA-VS-A9UD-01,55.2632,0.4660285714285714,0.2445,0.9441,0.1556,0.543
TCGA-VS-A9UH-01,5.1582,0.37311428571428573,0.3535,0.9135,0.5024,0.3367
TCGA-VS-A9UI-01,2.1056,0.20337142857142856,0.0996,0.8145,0.6286,0.5746
TCGA-VS-A9UJ-01,240.0691,0.19157142857142856,0.0629,0.3374,0.0899,0.1205
TCGA-VS-A9UL-01,406.4327,0.3744285714285714,0.0735,0.6885,0.1034,0.8497
TCGA-VS-A9UM-01,52.4906,0.2574571428571429,0.1227,0.588,0.586,0.5293
TCGA-VS-A9UU-01,3.1274,0.38649999999999995,0.1457,0.8721,0.6327,0.3881
TCGA-VS-A9UV-01,9.1954,0.3581,0.8527,0.6115,0.8047,0.8142
TCGA-VS-A9UY-01,10.412,0.21125714285714287,0.7934,0.7046,0.8076,0.7677
TCGA-VS-A9V2-01,25.2154,0.41602857142857147,0.2982,0.9189,0.6346,0.5052
TCGA-VS-A9V3-01,10.0059,0.23985714285714282,0.7,0.6405,0.7573,0.7019
TCGA-VS-AA62-01,12.5219,0.3263428571428571,0.3328,0.9287,0.3502,0.3425
TCGA-WL-A834-01,270.6511,0.33461428571428575,0.7387,0.9256,0.6732,0.6993
TCGA-XS-A8TJ-01,29.0494,0.36128571428571427,0.5118,0.8943,0.5602,0.4917
TCGA-ZJ-A8QO-01,23.5317,0.42231428571428575,0.1506,0.9294,0.6749,0.6233
TCGA-ZJ-A8QQ-01,6.9626,0.5193285714285715,0.7521,0.9517,0.7438,0.6962
TCGA-ZJ-A8QR-01,6.383,0.2821142857142857,0.6288,0.9271,0.0946,0.7673
TCGA-ZJ-AAX4-01,17.1464,0.24217142857142862,0.6415,0.8797,0.7663,0.7127
TCGA-ZJ-AAX8-01,30.3534,0.29222857142857145,0.1545,0.8497,0.3978,0.3424
TCGA-ZJ-AAXA-01,6.4713,0.07017142857142858,0.4188,0.7775,0.1325,0.1736
TCGA-ZJ-AAXD-01,4.583,0.32730000000000004,0.2068,0.8617,0.546,0.6141
TCGA-ZJ-AAXF-01,26.2097,0.27921428571428575,0.3921,0.8287,0.1465,0.3623
TCGA-ZJ-AAXI-01,33.241,0.1552,0.3068,0.7314,0.2944,0.7394
TCGA-ZJ-AAXJ-01,76.4434,0.32317142857142855,0.7043,0.9029,0.6402,0.722
TCGA-ZJ-AAXN-01,17.2515,0.35942857142857143,0.0675,0.8791,0.0596,0.7009
TCGA-ZJ-AAXT-01,10.2477,0.3390142857142857,0.4684,0.8882,0.1209,0.5586
TCGA-ZJ-AAXU-01,8.2864,0.2875571428571429,0.4646,0.9263,0.618,0.58
TCGA-ZJ-AB0H-01,7.8883,0.23975714285714286,0.4857,0.8324,0.277,0.5405
TCGA-ZJ-AB0I-01,4.2373,0.21135714285714283,0.5151,0.7514,0.1055,0.8039
TCGA-ZX-AA5X-01,54.9111,0.39008571428571426,0.3825,0.7685,0.1398,0.3412
